,Open,High,Low,Close,Volume,etf_code
2024-05-14 14:08:36.052902,150.0,152.25753960128287,150.0,150.77507122951684,862461,0050
2024-05-15 14:08:36.052902,151.7144641478012,152.02374973280934,150.33050687114593,150.5976747777601,4477036,0050
2024-05-16 14:08:36.052902,149.03643603822215,152.12435290952277,149.03643603822215,151.5992075849111,4105555,0050
2024-05-17 14:08:36.052902,151.3394517463523,155.24926707564157,151.3394517463523,153.91375236952314,1768224,0050
2024-05-20 14:08:36.052902,153.62790308217916,154.8166692535891,152.95869598249777,153.59252230743814,2760626,0050
2024-05-21 14:08:36.052902,152.51160595059352,155.15915998249884,152.1546744460219,153.27131687201438,974044,0050
2024-05-22 14:08:36.052902,152.67523193205398,157.6474383965517,152.67523193205398,155.67013609527547,3031352,0050
2024-05-23 14:08:36.052902,154.8057186302365,156.99340803486223,154.68550182441393,156.8512881890048,1436652,0050
2024-05-24 14:08:36.052902,158.2255175705374,158.2255175705374,156.054283508589,156.1770766101024,335555,0050
2024-05-27 14:08:36.052902,156.90773419054747,158.98637862899912,154.51043360274915,157.02091667548135,494191,0050
2024-05-28 14:08:36.052902,158.01922040857815,158.01922040857815,154.39227290574829,156.35579013626264,1552337,0050
2024-05-29 14:08:36.052902,156.91997816522638,158.35408553298547,155.4326188180793,155.68719550590725,3536669,0050
2024-05-30 14:08:36.052902,154.80830098669833,158.13631878374358,153.35317345321158,156.08013891325632,970597,0050
2024-05-31 14:08:36.052902,155.67080293313748,155.67080293313748,150.41792478805516,153.24021854626963,2093338,0050
2024-06-03 14:08:36.052902,153.61517786983737,153.61517786983737,150.4987737862576,150.6828417975001,3772946,0050
2024-06-04 14:08:36.052902,149.76207334108213,151.7949904740577,149.0395007054495,149.86941050363862,1536205,0050
2024-06-05 14:08:36.052902,150.40369377573842,150.40369377573842,145.98767826373464,148.38016382313697,2915899,0050
2024-06-06 14:08:36.052902,148.20186621338914,150.62575817405508,146.65349379903438,148.8815348220299,274695,0050
2024-06-07 14:08:36.052902,148.6025153364738,150.32410872460923,147.00497903060287,147.54949870874808,3031467,0050
2024-06-10 14:08:36.052902,148.07400764330015,148.07400764330015,144.8519997376108,145.46104315674515,3491628,0050
2024-06-11 14:08:36.052902,145.7841581803703,148.83608888307901,145.7841581803703,147.68951631012746,1151844,0050
2024-06-12 14:08:36.052902,147.42296171795675,149.27701917190063,145.95266365333944,147.38085185939767,4817493,0050
2024-06-13 14:08:36.052902,148.23516692942673,148.8641014953669,145.68814242663834,147.51214416642955,1460706,0050
2024-06-14 14:08:36.052902,146.71479431925977,146.99173031095853,144.33218397038746,145.40502188710937,3390216,0050
2024-06-17 14:08:36.052902,145.85282253915327,147.34151138639933,143.2806267463028,144.61844780032158,3883284,0050
2024-06-18 14:08:36.052902,145.04731471690062,145.93309945501062,142.64993412298273,144.8148316848864,4907088,0050
2024-06-19 14:08:36.052902,144.59069710734684,145.86962130246724,143.0133405357137,143.11834131875293,1897865,0050
2024-06-20 14:08:36.052902,143.35171940471574,146.31408135369173,142.9863245470706,143.71188834627145,969484,0050
2024-06-21 14:08:36.052902,142.8128888732815,143.40027006819375,140.8030199416933,142.84093031139324,4947954,0050
2024-06-24 14:08:36.052902,143.50087470667512,143.50087470667512,139.88324279945328,142.43338968670332,4067136,0050
2024-06-25 14:08:36.052902,142.30170849643386,142.30170849643386,140.1121601027663,141.5608297683592,394855,0050
2024-06-26 14:08:36.052902,141.19084424574072,144.42186047010466,141.19084424574072,144.36924704512262,1124961,0050
2024-06-27 14:08:36.052902,145.1264704055099,145.1264704055099,144.0695334489219,144.37900120801572,4675678,0050
2024-06-28 14:08:36.052902,143.87053901527707,144.7734086220654,141.54442434266426,142.82243481458187,3611963,0050
2024-07-01 14:08:36.052902,141.81663545613813,144.29139829382842,141.81663545613813,144.08625218273664,2427935,0050
2024-07-02 14:08:36.052902,142.96480786447978,143.1926955741092,141.5949884600462,142.28498670778012,1184106,0050
2024-07-03 14:08:36.052902,142.7161172971401,145.03834438413764,141.86024811033846,142.62828210028727,4528011,0050
2024-07-04 14:08:36.052902,141.71515490580063,141.71515490580063,138.66450327810406,139.71877691446758,2524968,0050
2024-07-05 14:08:36.052902,140.94466539868498,140.94466539868498,137.7011990828532,137.75649784111994,2492266,0050
2024-07-08 14:08:36.052902,136.32250132120745,138.86016992961905,136.32250132120745,138.08178969492363,4487677,0050
2024-07-09 14:08:36.052902,139.25303835228783,139.54850650463703,138.6307358928452,139.21948956491676,4592001,0050
2024-07-10 14:08:36.052902,139.3663782852829,141.4505298389731,138.59278152445887,139.5065419867017,1268758,0050
2024-07-11 14:08:36.052902,139.43908142769266,141.11609767725957,139.02926119696428,139.36306956311935,1705743,0050
2024-07-12 14:08:36.052902,138.9833615801132,141.37975806617928,136.4667916275524,138.94141401973542,4027019,0050
2024-07-15 14:08:36.052902,139.2186967003075,139.2186967003075,135.13011256662415,136.75363103418428,3118281,0050
2024-07-16 14:08:36.052902,136.72789762313684,137.8845740712587,133.86072853660613,135.7038647215922,4575208,0050
2024-07-17 14:08:36.052902,136.45247636831346,136.45247636831346,132.91146700836939,135.04290656515252,568349,0050
2024-07-18 14:08:36.052902,135.12003473357964,137.14356266140553,135.12003473357964,136.6585899044809,2931990,0050
2024-07-19 14:08:36.052902,136.76129003838858,139.2637645268119,136.76129003838858,137.20401733883358,847968,0050
2024-07-22 14:08:36.052902,136.95457205748758,136.95457205748758,133.14367954836297,134.5894571057895,129083,0050
2024-07-23 14:08:36.052902,134.55113570288367,137.78203855455794,133.51987283160722,135.1055830598817,2705971,0050
